number,value,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_best_iteration,state
34,0.7353270972556567,0.4926006711374935,0.7105637396887865,0.029212290087542777,0.015985948453006833,6.042882535476637,6,6.250138776517699,0.9294588339448618,689,COMPLETE
35,0.7355332183347181,0.0011483025357205568,0.6769474807552385,0.02374995959264904,0.006154299379827567,0.010384264129855561,5,3.6956160937893885,0.8570719518869389,1091,COMPLETE
36,0.7342281525193701,0.07931368720059494,0.6457022222843807,0.012231875387169628,0.0010042607039536292,0.04794856479250299,4,1.360572207943446,0.9088834213891007,2536,COMPLETE
37,0.7367322403451002,0.034576342981394115,0.7312202514997274,0.013720321389172205,0.023909093269557542,9.459526454484257,5,1.04322770632651,0.9762090670674711,2092,COMPLETE
38,0.7357683197065791,0.033162549938997886,0.8366135558256974,0.013976237444152233,0.05507682228609948,9.211286589603512,7,1.0633720615897109,0.9792046018233962,1136,COMPLETE
39,0.733051793298513,0.08281886281395945,0.9919381085597446,0.033843312982183044,0.15949912077965436,6.106939663994972,3,1.2767711790546858,0.9180416569556678,1350,COMPLETE
40,0.7385429069780735,0.0031520207729349983,0.7347751249368879,0.043840521025945475,0.02380651343255451,9.898090396964601,5,1.2348161824392867,0.8802900234485408,806,COMPLETE
41,0.7353390303173974,0.0002255501477123008,0.764656085644249,0.04252264246291171,0.023125149852874574,9.502696185311382,5,1.7888575174438035,0.8857355853733293,587,COMPLETE
42,0.7331873689243418,0.0017459447590319644,0.738981515047444,0.09647937023669695,0.009073891708979768,5.737069502747816,6,1.2123028701601624,0.8554579250515395,198,COMPLETE
43,0.7351178174249577,0.0007392222936607648,0.7117367238172388,0.05246977139982599,0.003918021858300461,9.977551082268864,5,1.0124041352510733,0.9079585429051032,638,COMPLETE
44,0.7350017458370162,0.003374755612710714,0.7935491581636898,0.02772547419726829,0.022856885646051532,3.5737660738128856,4,1.623823002089698,0.9492784790532962,1374,COMPLETE
45,0.7362155086883722,0.02461471980918603,0.7286866997646166,0.011325830504357709,0.0003999397891586894,2.305879024964794,6,16.16387874121945,0.805661033002945,1605,COMPLETE
46,0.7343313384061882,0.2314034929914698,0.7100918806032435,0.05637306700780551,0.5995423349189998,6.692055493777288,5,1.5625460818087546,0.8645704243183502,481,COMPLETE
47,0.7332100317138665,0.00018069922169780688,0.7649572536192815,0.033108961532984774,0.12037214923517099,1.3352030224708955,4,2.070787971307976,0.9817655892093043,1104,COMPLETE
48,0.7364816460485419,0.619708588672821,0.6668064540372947,0.013384610518446631,0.05765992176346143,5.152267431947962,8,1.1661457574544367,0.9228869971295798,1203,COMPLETE
