number,value,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
31,0.7348989105611422,0.014313280750273685,0.8522191532551531,0.024962593753464265,0.4246484522218459,0.5878986693317345,6,3.1819413006301107,0.6696642886278623,COMPLETE
32,0.7332654627189396,0.014832695232170416,0.9183770063341955,0.044465793626511894,0.9057758769359564,0.6038475844506687,6,2.453671525581396,0.6824534305942183,COMPLETE
33,0.7335161926402444,0.0017767400804780302,0.9557234355996793,0.019699277491599252,0.04493280862728336,1.5385148446315555,7,4.2883712100486635,0.7064234646253235,COMPLETE
34,0.7344836461740587,0.04178634554264533,0.8171242523137197,0.016689622243341765,0.19363636688626473,2.5723280615971094,6,5.8784593275190105,0.6525003229088898,COMPLETE
35,0.7349227550126556,0.0010400126589638569,0.8584525932299789,0.02507700563502946,0.46721335736028125,0.786537221406871,7,12.399860710653819,0.7221367163680011,COMPLETE
36,0.7344514813712822,0.29422365422790897,0.8477233111421476,0.02143557966674764,0.008708926608402135,1.4594889621229816,7,9.244833913415517,0.6257396400471885,COMPLETE
37,0.7331162652981997,0.018985717307046977,0.7890652865417018,0.03180781381963923,2.422646002754114,0.2523847936163571,8,3.235259749468776,0.8691597214945106,COMPLETE
38,0.7337286968544046,0.0049458210047444665,0.8972351320058877,0.01198573467779761,1.0184739996585739,0.47925109488023293,6,18.439063207976762,0.8166576778565673,COMPLETE
39,0.7324283987989686,0.0002218542549478613,0.9426196229918771,0.013813426055071822,0.2512195176544299,3.076179108087338,5,1.6012500031732226,0.9561473347263756,COMPLETE
40,0.7321701131109934,0.04565782886929508,0.7319231164213778,0.04006915898377187,0.0027042660571537994,0.02624588152398546,4,14.422772944114913,0.6791824183362823,COMPLETE
41,0.7332197964892662,0.000782681377108403,0.8716064712546839,0.026263502455350182,0.4764917110453853,1.0164455751871841,7,11.608020261471035,0.7252377355883276,COMPLETE
42,0.7339498835263272,0.0016173837688074264,0.8581639744275508,0.0246097021488825,1.3119276539417457,0.763191739552666,7,8.19459308077386,0.718382530950453,COMPLETE
43,0.7337812270632238,0.003060985130958951,0.8353725693791487,0.030159675234418058,0.12078741527151918,1.4460997197276246,8,11.879800000111311,0.73989994364547,COMPLETE
44,0.7346631004705717,0.0012247003951439818,0.7542462631616883,0.01993717319574268,3.1282263427484236,0.39542161405921866,7,36.72972080360675,0.697279424694979,COMPLETE
45,0.7334487157104065,0.002172685354836228,0.8056424526281979,0.016882390023876787,0.5167609532698193,0.7073975396146036,6,6.153970607431752,0.651704716044593,COMPLETE
